89,TSLA,S,07:00:00.370,25571465158,1,620.85,15,,
90,CNK,B,07:00:00.371,25571465159,1,24.26,8,,
91,BABA,S,07:00:00.372,25571465160,1,223.10,50,,
92,CNK,B,07:00:00.373,25571465161,1,24.19,9,,
93,BIDU,B,07:00:00.374,25571465162,1,191.86,50,,
94,MRNA,B,07:00:00.376,25571465163,1,188.17,40,,
95,CNK,B,07:00:00.376,25571465164,1,24.12,10,,
96,BABA,S,07:00:00.376,25571465165,1,224.20,50,,
97,BA,S,07:00:00.376,25571465166,1,257.09,100,,
98,BABA,S,07:00:00.378,25571465167,1,226.39,50,,
99,AAL,B,07:00:00.378,25571465168,1,25.51,3,,
100,BABA,S,07:00:00.379,25571465169,1,222.00,50,,
101,BABA,B,07:00:00.381,25571465170,1,216.31,50,,
102,AAL,B,07:00:00.381,25571465171,1,25.45,4,,
103,BABA,B,07:00:00.383,25571465172,1,215.21,50,,
104,AAL,B,07:00:00.384,25571465173,1,25.39,5,,
105,BABA,B,07:00:00.385,25571465174,1,213.01,50,,
106,AAL,B,07:00:00.387,25571465175,1,25.33,6,,
107,BABA,B,07:00:00.387,25571465176,1,211.94,50,,
108,AAL,B,07:00:00.389,25571465177,1,25.27,7,,
109,BIDU,S,07:00:00.389,25571465178,1,199.87,50,,
110,BIDU,S,07:00:00.391,25571465179,1,200.86,50,,
111,BIDU,S,07:00:00.393,25571465180,1,201.85,50,,
112,AAL,B,07:00:00.394,25571465181,1,25.21,8,,
113,BIDU,S,07:00:00.395,25571465182,1,203.83,50,,
114,BIDU,B,07:00:00.397,25571465183,1,190.90,50,,
115,ACH,B,07:00:00.398,25571465184,1,14.14,4,,
116,BIDU,B,07:00:00.398,25571465185,1,188.99,50,,
117,AAL,B,07:00:00.400,25571465186,1,25.15,9,,
118,BIDU,B,07:00:00.401,25571465187,1,189.95,50,,
119,AAPL,S,07:00:00.403,25571465188,1,126.96,100,,
120,AAL,B,07:00:00.406,25571465189,1,25.09,10,,
121,ACH,B,07:00:00.407,25571465190,1,14.00,100,,
122,AAPL,S,07:00:00.412,25571465191,1,127.58,100,,
123,AAPL,B,07:00:00.414,25571465192,1,123.73,100,,
124,AAPL,B,07:00:00.416,25571465193,1,123.13,100,,
125,ET,B,07:00:00.417,25571465194,1,10.37,30,,
126,AAL,B,07:00:00.417,25571465195,1,25.03,11,,
127,AAPL,S,07:00:00.418,25571465196,1,126.33,100,,
128,AAPL,B,07:00:00.420,25571465197,1,122.51,100,,
129,M,B,07:00:00.420,25571465198,1,18.71,4,,
130,M,B,07:00:00.423,25571465199,1,18.65,5,,
131,M,B,07:00:00.426,25571465200,1,18.59,6,,
132,M,B,07:00:00.428,25571465201,1,18.53,7,,
133,M,B,07:00:00.431,25571465202,1,18.47,8,,
134,M,B,07:00:00.434,25571465203,1,18.41,9,,
135,SPCE,B,07:00:00.434,25571465204,1,29.70,200,,
136,M,B,07:00:00.436,25571465205,1,18.35,10,,
137,M,B,07:00:00.439,25571465206,1,18.29,11,,
138,M,B,07:00:00.441,25571465207,1,18.23,12,,
139,BIIB,B,07:00:00.443,25571465208,1,271.50,25,,
140,ZYNE,B,07:00:00.444,25571465209,1,5.21,5,,
141,ZYNE,B,07:00:00.447,25571465210,1,5.17,7,,
142,ZYNE,B,07:00:00.450,25571465211,1,5.13,9,,
143,ZYNE,B,07:00:00.452,25571465212,1,5.09,11,,
144,ZYNE,B,07:00:00.455,25571465213,1,5.05,13,,
145,ZYNE,B,07:00:00.457,25571465214,1,5.01,15,,
146,ZYNE,B,07:00:00.460,25571465215,1,4.97,17,,
147,TSLA,B,07:00:00.461,25571465216,1,600.06,25,,
148,ZYNE,B,07:00:00.463,25571465217,1,4.93,19,,
149,ZYNE,B,07:00:00.466,25571465218,1,4.89,21,,
150,MSFT,B,07:00:00.467,25571465219,1,244.97,30,,
151,ZYNE,B,07:00:00.468,25571465220,1,4.85,23,,
152,AAPL,B,07:00:00.470,25571465221,1,123.98,6,,
153,ZYNE,B,07:00:00.471,25571465222,1,4.81,25,,
154,MSFT,B,07:00:00.473,25571465223,1,243.73,30,,
155,ZYNE,B,07:00:00.473,25571465224,1,4.77,27,,
156,RIG,B,07:00:00.477,25571465225,1,4.36,6,,
157,AMZN,B,07:00:00.477,25571465226,1,3212.74,3,,
158,RIG,B,07:00:00.480,25571465227,1,4.33,8,,
159,RIG,B,07:00:00.483,25571465228,1,4.30,10,,
160,NVDA,B,07:00:00.485,25571465229,1,665.22,30,,
161,RIG,B,07:00:00.486,25571465230,1,4.27,12,,
162,AMZN,S,07:00:00.488,25571465231,1,3261.33,8,,
163,RIG,B,07:00:00.488,25571465232,1,4.24,14,,
164,RIG,B,07:00:00.491,25571465233,1,4.21,16,,
165,RIG,B,07:00:00.494,25571465234,1,4.18,18,,
166,RIG,B,07:00:00.497,25571465235,1,4.15,20,,
167,RIG,B,07:00:00.500,25571465236,1,4.12,22,,
168,RIG,B,07:00:00.502,25571465237,1,4.09,24,,
169,AAPL,B,07:00:00.505,25571465238,1,123.83,20,,
170,RIG,B,07:00:00.505,25571465239,1,4.06,26,,
171,RIG,B,07:00:00.508,25571465240,1,4.03,28,,
172,NFLX,B,07:00:00.508,25571465241,1,494.26,10,,
173,RIG,B,07:00:00.512,25571465242,1,4.00,30,,
174,RIG,B,07:00:00.514,25571465243,1,3.97,32,,
175,FB,B,07:00:00.514,25571465244,1,325.96,20,,
176,CCL,B,07:00:00.517,25571465245,1,31.01,3,,
177,CCL,B,07:00:00.519,25571465246,1,30.92,3,,
178,INTC,B,07:00:00.520,25571465247,1,57.00,100,,
179,CCL,B,07:00:00.522,25571465248,1,30.83,3,,
180,CCL,B,07:00:00.525,25571465249,1,30.74,3,,
181,TSLA,B,07:00:00.526,25571465250,1,596.01,7,,
182,CCL,B,07:00:00.528,25571465251,1,30.65,3,,
183,CCL,B,07:00:00.531,25571465252,1,30.56,3,,
184,AAL,B,07:00:00.531,25571465253,1,25.60,200,,
185,CCL,B,07:00:00.534,25571465254,1,30.47,3,,
186,CCL,B,07:00:00.536,25571465255,1,30.38,3,,
187,VIPS,B,07:00:00.537,25571465256,1,23.57,230,,
188,CCL,B,07:00:00.539,25571465257,1,30.29,3,,
189,RIG,B,07:00:00.539,25571465258,1,4.40,100,,
190,CCL,B,07:00:00.542,25571465259,1,30.20,3,,
191,BABA,B,07:00:00.543,25571465260,1,215.10,10,,
192,CCL,B,07:00:00.545,25571465261,1,30.11,3,,
193,COTY,B,07:00:00.545,25571465262,1,8.88,241,,
194,BIDU,B,07:00:00.549,25571465263,1,193.51,11,,
195,BAC,B,07:00:00.555,25571465264,1,42.41,100,,
196,SPCE,B,07:00:00.555,25571465265,1,29.70,200,,
197,TSLA,S,07:00:00.560,25571465266,1,609.41,1,,
198,CCL,B,07:00:00.562,25571465267,1,30.02,3,,
199,CCL,B,07:00:00.565,25571465268,1,29.93,3,,
200,JD,B,07:00:00.565,25571465269,1,76.31,50,,
201,GTHX,B,07:00:00.568,25571465270,1,21.31,4,,
202,GTHX,B,07:00:00.571,25571465271,1,21.25,5,,
203,NVDA,S,07:00:00.571,25571465272,1,683.68,2,,
204,UAL,B,07:00:00.571,25571465273,1,59.63,80,,
205,ZYNE,B,07:00:00.573,25571465274,1,5.11,48,,
206,GTHX,B,07:00:00.574,25571465275,1,21.19,6,,
207,SPCE,S,07:00:00.574,25571465276,1,33.48,6,,
208,GTHX,B,07:00:00.576,25571465277,1,21.13,7,,
209,TSM,S,07:00:00.577,25571465278,1,121.11,1,,
210,ABNB,B,07:00:00.578,25571465279,1,149.52,25,,
211,GTHX,B,07:00:00.579,25571465280,1,21.07,8,,
212,SPR,B,07:00:00.582,25571465281,1,50.29,10,,
213,TSLA,B,07:00:00.582,25571465282,1,584.84,1,,
214,GTHX,B,07:00:00.584,25571465283,1,21.01,9,,
215,MOMO,B,07:00:00.584,25571465284,1,14.20,250,,
216,GTHX,B,07:00:00.587,25571465285,1,20.95,10,,
217,SPCE,S,07:00:00.588,25571465286,1,35.36,6,,
218,GTHX,B,07:00:00.590,25571465287,1,20.89,11,,
219,T,B,07:00:00.590,25571465288,1,29.27,100,,
220,GTHX,B,07:00:00.593,25571465289,1,20.83,12,,
221,VIPS,B,07:00:00.596,25571465290,1,23.61,4,,
222,PFE,B,07:00:00.597,25571465291,1,38.36,100,,
223,VIPS,B,07:00:00.599,25571465292,1,23.54,5,,
224,MSFT,S,07:00:00.599,25571465293,1,249.09,100,,
225,VIPS,B,07:00:00.602,25571465294,1,23.47,6,,
226,TSLA,B,07:00:00.603,25571465295,1,597.00,29,,
227,DIS,B,07:00:00.603,25571465296,1,177.32,20,,
228,VIPS,B,07:00:00.605,25571465297,1,23.40,7,,
229,TSLA,S,07:00:00.605,25571465298,1,611.50,28,,
230,TSM,S,07:00:00.605,25571465299,1,123.00,1,,
231,SPCE,B,07:00:00.606,25571465300,1,27.99,200,,
232,AAPL,B,07:00:00.607,25571465301,1,123.80,138,,
